iso1;iso2;group;community
-17.95535;14.08147;Santana;1
-17.80142;14.50640;Santana;1
-17.57533;14.80159;Santana;1
-17.76901;14.31772;Santana;1
-17.95426;14.34615;Santana;1
-17.07352;13.90709;Santana;1
-16.85544;14.64391;Santana;1
-17.06456;14.39216;Santana;1
-16.86588;14.42872;Santana;1
-16.96754;14.41384;Santana;1
-16.90254;14.20412;Santana;1
-16.68310;14.32099;Santana;1
-16.97887;14.70328;Santana;1
-16.90551;14.82919;Santana;1
-16.94784;14.67211;Santana;1
-16.70990;14.91956;Santana;1
-17.05306;14.49065;Santana;1
-17.10896;14.65337;Santana;1
-16.98434;14.52642;Santana;1
-16.83438;14.72758;Santana;1
-16.86645;14.83904;Santana;1
-17.24122;14.45006;Santana;1
-16.90685;14.22730;Santana;1
-16.81030;14.29356;Santana;1
-16.96424;14.30568;Santana;1
-16.68409;14.31981;Santana;1
-16.70459;14.55295;Santana;1
-16.73807;14.38805;Santana;1
-16.77160;14.25556;Santana;1
-16.80094;14.33603;Santana;1
-16.91102;13.92027;Santana;1
-16.98095;13.73084;Santana;1
-16.98003;13.83828;Santana;1
-17.12515;14.29022;Santana;1
-16.95422;14.31307;Santana;1
-17.13905;14.29737;Santana;1
-17.01488;14.57867;Santana;1
-17.01022;14.51459;Santana;1
-17.21665;14.19716;Santana;1
-16.96952;14.69397;Santana;1
-17.04211;14.60750;Santana;1
-16.92918;14.70502;Santana;1
-17.36321;14.66507;Santana;1
-17.41294;14.49634;Santana;1
-17.59288;14.52055;Santana;1
-17.80688;14.29233;Santana;1
-17.56581;14.49606;Santana;1
-17.61964;14.54625;Santana;1
-17.38167;14.51332;Santana;1
-17.39632;14.95430;Santana;1
-17.41095;14.96680;Santana;1
-17.42126;14.82830;Santana;1
-17.50149;14.83310;Santana;1
-16.37;8.75;Abrolhos;1
-16.71;11.15;Abrolhos;1
-17.17;11.56;Abrolhos;1
-16.95;11.58;Abrolhos;1
-16.37;12.21;Abrolhos;1
-16.98;11.76;Abrolhos;1
-17.07;10.98;Abrolhos;1
-18.21;11.57;Abrolhos;1
-17.29;11.82;Abrolhos;1
-16.84;11.85;Abrolhos;1
-17.09;11.42;Abrolhos;1
-17.44;11.36;Abrolhos;1
-17.33;8.65;Abrolhos;1
-17.63;11.24;Abrolhos;1
-17.48;11.57;Abrolhos;1
-16.83;10.22;Abrolhos;1
-16.11;10.34;Abrolhos;1
-16.17;11.41;Abrolhos;1
-15.93;11.66;Abrolhos;1
-16.88;10.17;Abrolhos;1
-16.03;11.5;Abrolhos;1
-16.85;11.2;Abrolhos;1
-16.43;9.62;Abrolhos;1
-16.17;12.14;Abrolhos;1
-16.95;11.5;Abrolhos;1
-16.72;11.28;Abrolhos;1
-16.48;11.42;Abrolhos;1
-16.69;10.07;Abrolhos;1
-16.76;9.86;Abrolhos;1
-16.24;11.34;Abrolhos;1
-16.72;9.72;Abrolhos;1
-16.732667;9.36733;Abrolhos;1
-16.973667;9.59233;Abrolhos;1
-17.101667;10.71433;Abrolhos;1
-16.6745;8.63075;Abrolhos;1
-17.003667;10.46333;Abrolhos;1
-17.251667;11.36433;Abrolhos;1
-17.026667;10.48833;Abrolhos;1
-17.104667;9.41033;Abrolhos;1
-16.9175;10.62075;Abrolhos;1
-16.994667;11.10633;Abrolhos;1
-17.0685;10.53475;Abrolhos;1
-18.5638;11.2368;Abrolhos;1
-16.24;9.6;Noronha;1
-16.76;9.77;Noronha;1
-16.79;10.11;Noronha;1
-16.91;10.05;Noronha;1
-16.63;9.73;Noronha;1
-17.00;9.71;Noronha;1
-16.7;10.11;Noronha;1
-16.65;9.87;Noronha;1
-16.5;9.93;Noronha;1
-16.32;9.76;Noronha;1
-16.37;9.79;Noronha;1
-16.5;9.59;Noronha;1
-16.64;9.98;Noronha;1
-16.56;9.88;Noronha;1
-15.79;10.41;Noronha;1
-16.29;9.94;Noronha;1
-16.54;9.89;Noronha;1
-16.52;9.82;Noronha;1
-16.2;10.03;Noronha;1
-16.6;9.81;Noronha;1
-16.46;9.91;Noronha;1
-16.35;9.81;Noronha;1
-16.29;9.87;Noronha;1
-16.44;9.75;Noronha;1
-16.52;9.95;Noronha;1
-16.36;10.1;Noronha;1
-16.35;10.33;Noronha;1
-16.61;9.61;Rocas;1
-16.7;9.74;Rocas;1
-17.14;9.72;Rocas;1
-16.89;9.82;Rocas;1
-17.41;9.65;Rocas;1
-16.44;9.93;Rocas;1
-16.89;9.59;Rocas;1
-17.41;10.13;Rocas;1
-16.96;9.94;Rocas;1
-16.78;9.67;Rocas;1
-16.56;10.2;Rocas;1
-17.00;9.9;Rocas;1
-16.43;10.13;Rocas;1
-16.72;9.85;Rocas;1
-16.69;10.21;Rocas;1
-16.83;10.07;Rocas;1
-16.72;10.63;Rocas;1
-17.02;9.89;Rocas;1
-16.87;9.84;Rocas;1
-16.92;9.86;Rocas;1
-16.61;10.13;Rocas;1
-16.64;10.05;Rocas;1
-16.75;10.6;Rocas;1
-17.35;9.76;Rocas;1
-16.8;10.03;Rocas;1
-16.38;10.02;Rocas;1
-16.17;10.67;Rocas;1
-17.03;9.82;Rocas;1
-17.24689;12.00311;SPSP;1
-17.33911;12.67089;SPSP;1
-17.18106;13.10894;SPSP;1
-17.17483;13.10517;SPSP;1
-17.22931;13.06069;SPSP;1
-17.31071;12.64929;SPSP;1
-17.10823;12.43177;SPSP;1
-17.07472;12.18528;SPSP;1
-17.11386;12.38614;SPSP;1
-17.48259;13.18741;SPSP;1
-17.16738;12.21262;SPSP;1
-17.10983;12.26017;SPSP;1
-17.13743;12.35257;SPSP;1
-17.34917;13.33083;SPSP;1
-17.06575;12.30425;SPSP;1
-17.3294;12.8806;SPSP;1
-17.42501;12.92499;SPSP;1
-17.37848;12.84152;SPSP;1
-17.35248;12.48752;SPSP;1
-17.30775;12.73225;SPSP;1
-17.20341;13.18659;SPSP;1
-17.20471;12.68529;SPSP;1
-17.23436;12.30564;SPSP;1
-17.10419;12.15581;SPSP;1
-17.09222;12.68778;SPSP;1
-17.25012;12.73988;SPSP;1
-17.29347;12.92653;SPSP;1
-17.37625;12.00375;SPSP;1
-17.33264;12.24736;SPSP;1
-17.26987;11.70013;SPSP;1
-17.16869;12.56131;SPSP;1
-16.98978;11.44022;SPSP;1
-17.24585;11.59415;SPSP;1
-16.9991;11.7309;SPSP;1
-17.44377;12.19623;SPSP;1
-17.1488;11.3612;SPSP;1
-16.99403;11.32597;SPSP;1
-17.03547;11.76453;SPSP;1
-17.06404;11.50596;SPSP;1
-17.34978;12.62022;SPSP;1
-16.91576;11.78424;SPSP;1
-16.97103;12.65897;SPSP;1
-17.16672;11.89328;SPSP;1
-17.51573;12.33427;SPSP;1
-17.12509;11.58491;SPSP;1
-17.18007;12.09993;SPSP;1
-17.20983;12.45017;SPSP;1
-17.05644;12.07356;SPSP;1
-16.99023;11.73977;SPSP;1
-16.96746;12.36254;SPSP;1
-16.86363;12.56637;SPSP;1
-17.16637;11.24363;SPSP;1
-17.43605;12.52395;SPSP;1
-17.39572;12.09428;SPSP;1
-17.42913;12.48087;SPSP;1
-17.06247;12.44753;SPSP;1
-17.17548;12.59452;SPSP;1
-17.14685;11.84315;SPSP;1
-17.16919;12.33081;SPSP;1
-17.32375;11.46625;SPSP;1
-17.21889;12.46111;SPSP;1
-17.05211;11.78789;SPSP;1
-17.13109;12.52891;SPSP;1
-17.08062;12.33938;SPSP;1
-17.18934;12.54066;SPSP;1
-17.21294;12.06706;SPSP;1
-17.13524;12.06476;SPSP;1
-17.12468;12.44532;SPSP;1
-17.0019;12.3581;SPSP;1
-17.0559;11.9141;SPSP;1
-17.08558;11.96442;SPSP;1
-17.10498;13.05502;SPSP;1
-17.09081;12.12919;SPSP;1
-16.99346;12.02654;SPSP;1
-17.01226;13.04774;SPSP;1
-17.02181;11.55819;SPSP;1
-17.15795;12.31205;SPSP;1
-16.93991;12.10009;SPSP;1
-17.05353;12.14647;SPSP;1
-17.22532;12.34468;SPSP;1
-17.00234;12.70766;SPSP;1
-17.03332;12.63668;SPSP;1
-16.98009;12.68991;SPSP;1
-16.82428;11.67572;SPSP;1
-16.92179;11.73821;SPSP;1
-17.31477;12.49523;SPSP;1
-16.83533;11.84467;SPSP;1
-17.26543;12.73457;SPSP;1
-17.05658;12.81342;SPSP;1
-16.88155;11.76845;SPSP;1
-17.31604;13.27396;SPSP;1
-17.16568;12.33432;SPSP;1
-17.45177;12.28823;SPSP;1
-17.41058;11.80942;SPSP;1
-17.22532;12.54468;SPSP;1
-16.90172;12.34828;SPSP;1
-16.93978;11.88022;SPSP;1
-17.14635;11.68365;SPSP;1
-16.83;10.65;SPSP;1
-16.9;10.04;SPSP;1
-17.03;10.25;SPSP;1
-17.26;10.95;SPSP;1
-17.49;10.92;SPSP;1
-17.12;11.02;SPSP;1
-16.62;10.53;SPSP;1
-17.17;10.92;SPSP;1
-16.74;10.49;SPSP;1
-16.81;10.54;SPSP;1
-17.07;10.28;SPSP;1
-17.02;10.27;SPSP;1
-16.82;10.28;SPSP;1
-16.92;10.34;SPSP;1
-16.82;10.05;SPSP;1
-17.39;10.08;SPSP;1
-17.11;11.02;SPSP;1
-16.89;10.68;SPSP;1
-16.72;10.11;SPSP;1
-16.94;10.28;SPSP;1
-16.85;10.01;SPSP;1
-16.9;10.62;SPSP;1
-17.08;10.63;SPSP;1
-16.82;10.52;SPSP;1
-17.03;10.49;SPSP;1
-16.93;10.6;SPSP;1
-16.69;10.47;SPSP;1
-16.67;10.48;SPSP;1
-16.75;10.61;SPSP;1
